Query,Iteraci�,tiempoSD ,tiempoCD ,energySD ,energyCD
1,1,105.423,131.854,99.0684,96.0624
1,2,91.955,64.592,87.7649,66.2165
1,3,91.068,58.866,89.0866,54.7327
1,4,91.124,52.456,91.5068,46.4249
1,5,91.699,51.003,91.0743,44.7306
1,6,91.885,51.245,93.1385,45.318
1,7,91.796,51.242,90.8309,44.8553
1,8,94.29,51.516,92.1253,47.1108
1,9,94.29,50.874,95.0102,44.132
1,10,109.073,51.425,114.497,44.7715
2,1,6.145,3.217,7.5071,7.115
2,2,2.477,2.651,3.93498,3.97561
2,3,2.382,2.376,2.31489,1.83471
2,4,2.188,2.734,2.12561,4.55089
2,5,1.973,2.476,1.80607,1.84256
2,6,2.186,2.448,4.86845,3.18385
2,7,2.074,2.484,1.70355,2.5844
2,8,1.946,2.506,1.6192,1.538
2,9,2.036,2.477,1.7162,2.451
2,10,2.362,2.58,4.41944,1.91369
3,1,680.248,312.87,540.56,262.68
3,2,466.847,312.975,429.28,258.5
3,3,434.751,311.236,348.25,258.78
3,4,444.166,306.914,351.52,256.8
3,5,409.181,309.149,341.15,258.89
3,6,400.075,307.44,332.92,256.38
3,7,392.061,305.946,333.04,255.25
3,8,395.096,309.873,334.96,263.5
3,9,403.778,307.776,337.59,261.49
3,10,400.299,308.972,333.76,279.66
4,2,0.272,0.247,0.9501,0.9234
4,3,0.176,0.247,0.2168,0.1058
4,4,0.181,0.218,0.2725,0.7007
4,5,0.208,0.233,0.2621,0.6885
4,6,0.162,0.222,0.2137,0.6707
4,7,0.175,0.22,0.2695,0.288
4,8,0.163,0.278,0.4775,0.3492
4,9,0.157,0.224,0.2009,0.359
4,10,0.338,0.233,0.9317,0.3353
5,1,70.887,50.574,48.7665,52.0976
5,2,36.215,35.463,29.5358,33.5439
5,3,36.578,35.833,30.8196,32.6747
5,4,35.888,36.409,29.4535,32.8675
5,5,36.239,37.851,29.8789,32.4173
5,6,36.69,37.193,30.1161,31.4223
5,7,36.109,36.248,29.3081,32.0715
5,8,36.213,36.38,29.5985,30.3109
5,9,36.538,36.461,31.561,31.452
5,10,43.918,35.471,41.9621,31.6811
6,2,1.2,0.96,2.8189,1.6229
6,3,1.013,0.802,1.6035,0.8927
6,4,0.786,0.849,1.162,0.726
6,5,0.692,0.804,0.8143,2.1806
6,6,0.727,1.068,0.6955,0.7947
6,7,0.703,0.81,0.611,0.7552
6,8,0.71,0.809,0.5595,0.8866
6,9,0.708,0.892,0.6102,0.9742
6,10,0.717,0.789,0.6538,0.9427
7,1,3600,465.293,"3,157.77","1,087.88"
7,2,3600,447.316,"3,157.77",729.771
7,3,3600,460.25,"3,157.77",811.401
7,4,3600,458.662,"3,157.77",785.058
7,5,3600,448.009,"3,157.77",787.887
7,6,3600,451.747,"3,157.77",717.095
7,7,3600,441.961,"3,157.77",890.638
7,8,3600,457.392,"3,157.77",713.498
7,9,3600,456.513,"3,157.77",764.282
7,10,3600,445.062,"3,157.77",784.524
8,2,2.682,2.709,3.242,2.718
8,3,2.578,2.533,2.568,2.089
8,4,2.482,2.573,2.149,2.253
8,5,2.586,2.706,2.244,2.168
8,6,2.5,2.645,2.201,2.057
8,7,2.48,2.543,2.292,2.067
8,8,2.474,2.487,2.23,2.2093
8,9,2.5,2.574,2.175,2.104
8,10,2.5,2.905,2.825,3.2116
9,1,175.224,53.646,107.048,48.805
9,2,53.404,43.001,50.061,42.494
9,3,52.6,43.165,53.912,39.298
9,4,53.229,43.966,52.592,42.131
9,5,51.466,45.529,49.127,43.229
9,6,50.62,44.145,50.977,41.018
9,7,66.625,43.576,65.016,42.694
9,8,53.917,44.507,48.053,43.726
9,9,53.614,43.912,50.773,40.787
9,10,52.204,42.993,53.895,37.987
10,1,3600,3600,3234.78,3238.68
10,2,3600,3600,3234.78,3238.68
10,3,3600,3600,3234.78,3238.68
10,4,3600,3600,3234.78,3238.68
10,5,3600,3600,3234.78,3238.68
10,6,3600,3600,3234.78,3238.68
10,7,3600,3600,3234.78,3238.68
10,8,3600,3600,3234.78,3238.68
10,9,3600,3600,3234.78,3238.68
10,10,3600,3600,3234.78,3238.68
11,2,17.473,18.607,14.44,17.95
11,3,17.794,18.048,18.132,16.51
11,4,20.139,17.093,19.2284,15.739
11,5,18.411,17.323,16.0635,15.5306
11,6,21.19,17.702,22.5081,15.8412
11,7,18.191,17.52,15.238,16.1494
11,8,20.941,17.644,18.9492,16.6898
11,9,20.186,17.591,21.9515,16.5309
11,10,19.612,17.769,21.5612,16.9976
12,1,246.839,3.742,174.566,5.4056
12,2,136.12,2.591,125.246,2.8812
12,3,137.386,2.249,123.044,1.8289
12,4,152.715,2.212,143.193,1.7904
12,5,138.037,2.228,124.733,1.8111
12,6,139.34,2.321,126.848,2.12
12,7,138.025,2.272,121.977,2.0194
12,8,135.813,2.312,120.761,2.1203
12,9,138.54,2.352,125.43,2.3129
12,10,135.842,2.478,121.725,3.447
13,2,2.819,nan,3.8075,nan
13,3,2.76,nan,2.33473,nan
13,4,2.364,nan,2.0814,nan
13,5,2.681,nan,2.68803,nan
13,6,2.62,nan,2.44684,nan
13,7,2.585,nan,2.82756,nan
13,8,2.961,nan,3.98936,nan
13,9,2.69,nan,2.78567,nan
13,10,2.605,,2.49974,
14,1,20.542,80.577,23.5687,55.0741
14,2,20.214,19.042,24.3421,28.8169
14,3,19.883,18.759,21.5033,30.1136
14,4,19.744,20.554,20.1142,51.1416
14,5,20.211,19.234,22.0055,23.0474
14,6,23.235,19.445,29.2126,21.1511
14,7,20.537,18.753,22.6542,22.1115
14,8,20.021,20.123,22.2591,22.8356
14,9,20.545,19.216,24.8554,22.9541
14,10,20.486,19.462,26.5215,19.7445
15,2,0.498,0.453,1.46,0.95
15,3,0.438,0.378,0.67424,0.46725
15,4,0.342,0.339,0.56624,1.56149
15,5,0.38,0.358,0.477629,0.368302
15,6,0.342,0.358,0.44626,0.36169
15,7,0.339,0.355,0.4482,0.39979
15,8,0.376,0.371,0.476457,0.407716
15,9,0.329,0.346,0.333549,0.315841
15,10,0.496,0.515,1.51025,0.775248
16,1,120.939,135.406,130.768,164.999
16,2,117.897,119.555,158.166,123.079
16,3,116.529,98.241,142.248,123.736
16,4,115.418,95.759,143.983,134.358
16,5,111.856,92.858,154.283,103.342
16,6,108.518,99.303,146.671,126.178
16,7,104.611,89.974,105.987,107.319
16,8,111.792,91.112,129.274,97.1785
16,9,112.717,106.343,130.288,116.533
16,10,117.805,96.639,162.769,106.918
17,1,62.315,4.859,43.884,3.845
17,2,42.708,4.839,40.521,4.239
17,3,35.029,5.007,29.252,4.179
17,4,35.02,4.962,29.402,3.983
17,5,41.814,4.799,39.084,4.187
17,6,35.253,4.691,30.743,4.472
17,7,35.305,5.092,30.982,4.743
17,8,34.617,4.944,29.196,5.248
17,9,34.779,4.794,29.48,3.91
17,10,34.771,4.829,29.909,4.649
18,1,21.945,22.792,26.7235,19.4475
18,2,20.329,20.503,22.255,20.28
18,3,20.604,19.824,18.1427,16.5398
18,4,20.905,19.878,21.46,17.67
18,5,24.491,20.372,23.0884,16.498
18,6,21.741,19.908,18.7684,18.8519
18,7,24.492,19.917,26.3207,17.5454
18,8,22.011,21.59,18.9746,19.4768
18,9,20.453,20.279,17.8567,16.623
18,10,23.068,19.935,24.3481,18.6398
19,1,1173.752,942.042,979.394,852.361
19,2,1036.353,931.014,924.795,849.525
